timestamp,open,high,low,close,volume
2024-01-01,40000.50,41200.75,39800.25,40500.00,1250000
2024-01-02,40500.00,41800.50,40200.25,41000.75,1350000
2024-01-03,41000.00,42100.25,40800.50,41500.25,1150000
2024-01-04,41500.00,41950.75,41200.50,41800.00,1050000
2024-01-05,41800.00,42500.50,41600.25,42200.75,1400000
2024-01-06,42200.00,42800.75,41950.00,42500.00,1280000
2024-01-07,42500.00,43200.50,42300.25,42800.75,1550000
2024-01-08,42800.00,43500.75,42600.50,43200.00,1450000
2024-01-09,43200.00,44100.25,43000.75,43800.25,1600000
2024-01-10,43800.00,44500.50,43600.00,44200.75,1750000
2024-01-11,44200.00,44900.75,43900.25,44500.50,1650000
2024-01-12,44500.00,45200.50,44200.75,44800.00,1400000
2024-01-13,44800.00,45600.75,44600.25,45200.25,1550000
2024-01-14,45200.00,45950.00,44900.50,45500.75,1480000
2024-01-15,45500.00,46200.50,45300.00,45800.00,1650000
2024-01-16,45800.00,46500.75,45500.25,46100.50,1750000
2024-01-17,46100.00,46800.50,45800.75,46400.00,1580000
2024-01-18,46400.00,47100.75,46200.25,46700.50,1690000
2024-01-19,46700.00,47400.50,46500.75,47000.00,1820000
2024-01-20,47000.00,47700.75,46800.25,47300.50,1720000
2024-01-21,47300.00,48000.50,47100.75,47600.00,1890000
2024-01-22,47600.00,47900.75,47200.25,47800.50,1650000
2024-01-23,47800.00,48200.50,47500.75,48000.00,1740000
2024-01-24,48000.00,48500.75,47600.25,48200.50,1620000
2024-01-25,48200.00,48800.50,47900.75,48400.00,1850000
2024-01-26,48400.00,49100.75,48200.25,48700.50,1750000
2024-01-27,48700.00,49400.50,48500.75,49000.00,1920000
2024-01-28,49000.00,49700.75,48800.25,49200.50,1680000
2024-01-29,49200.00,49900.50,48900.75,49400.00,1790000
2024-01-30,49400.00,50200.75,49200.25,49700.50,1850000
2024-01-31,49700.00,50500.50,49400.75,50000.00,1920000
2024-02-01,50000.00,50800.75,49700.25,50200.50,1750000
2024-02-02,50200.00,51100.50,50000.75,50500.00,1880000
2024-02-03,50500.00,51400.75,50300.25,50800.50,1650000
2024-02-04,50800.00,51700.50,50600.75,51100.00,1890000
2024-02-05,51100.00,52000.75,50900.25,51500.50,1920000
2024-02-06,51500.00,52200.50,51200.75,51800.00,1750000
2024-02-07,51800.00,52500.75,51500.25,52100.50,1880000
2024-02-08,52100.00,52800.50,51800.75,52400.00,1620000
2024-02-09,52400.00,53100.75,52200.25,52700.50,1890000
2024-02-10,52700.00,53400.50,52500.75,53000.00,1920000
2024-02-11,53000.00,53700.75,52800.25,53300.50,1750000
2024-02-12,53300.00,54000.50,53100.75,53600.00,1880000
2024-02-13,53600.00,54300.75,53400.25,53900.50,1650000
2024-02-14,53900.00,54600.50,53700.75,54200.00,1890000
2024-02-15,54200.00,54900.75,54000.25,54500.50,1920000
2024-02-16,54500.00,55200.50,54300.75,54800.00,1750000
2024-02-17,54800.00,55500.75,54600.25,55100.50,1880000
2024-02-18,55100.00,55800.50,54900.75,55400.00,1620000
2024-02-19,55400.00,56100.75,55200.25,55700.50,1890000
2024-02-20,55700.00,56400.50,55500.75,56000.00,1920000
