timestamp,open,high,low,close,volume
2025-06-28 00:00:00,107000.1,107003.1,106985.9,106990.0,45119.0
2025-06-28 00:01:00,106990.0,106990.0,106947.6,106947.6,83362.0
2025-06-28 00:02:00,106947.6,106947.6,106910.0,106917.1,96126.0
2025-06-28 00:03:00,106910.6,106928.2,106880.8,106920.2,79088.0
2025-06-28 00:04:00,106931.4,106934.9,106900.0,106900.0,8876.0
2025-06-28 00:05:00,106889.5,106889.5,106853.6,106879.9,37852.0
2025-06-28 00:06:00,106879.9,106879.9,106825.5,106825.6,48699.0
2025-06-28 00:07:00,106825.6,106841.1,106820.0,106841.1,54447.0
2025-06-28 00:08:00,106841.0,106841.1,106822.8,106822.8,72237.0
2025-06-28 00:09:00,106822.9,106837.1,106822.3,106836.7,36118.0
2025-06-28 00:10:00,106836.6,106836.9,106832.1,106836.9,16537.0
2025-06-28 00:11:00,106836.9,106836.9,106820.3,106824.9,17129.0
2025-06-28 00:12:00,106824.9,106825.0,106824.9,106824.9,11543.0
2025-06-28 00:13:00,106824.9,106824.9,106809.0,106810.0,15839.0
2025-06-28 00:14:00,106810.0,106810.0,106805.4,106805.4,227503.0
2025-06-28 00:15:00,106805.4,106820.4,106800.1,106820.3,37580.0
2025-06-28 00:16:00,106820.4,106889.0,106820.4,106876.9,139950.0
2025-06-28 00:17:00,106877.2,106919.2,106874.1,106884.6,193920.0
2025-06-28 00:18:00,106886.1,106892.3,106854.3,106854.3,10292.0
2025-06-28 00:19:00,106854.3,106854.3,106846.0,106846.1,2968.0
2025-06-28 00:20:00,106846.0,106873.9,106846.0,106873.9,17896.0
2025-06-28 00:21:00,106873.8,106903.5,106873.8,106903.4,13861.0
2025-06-28 00:22:00,106907.7,106922.9,106907.6,106910.0,26092.0
2025-06-28 00:23:00,106910.1,106910.1,106894.1,106905.2,5231.0
2025-06-28 00:24:00,106905.1,106905.2,106905.1,106905.2,1430.0
2025-06-28 00:25:00,106905.4,106922.5,106905.4,106922.5,13314.0
2025-06-28 00:26:00,106922.5,106922.5,106908.6,106908.6,1929.0
2025-06-28 00:27:00,106908.7,106908.7,106892.4,106903.5,81731.0
2025-06-28 00:28:00,106903.5,106905.9,106903.5,106905.9,13222.0
2025-06-28 00:29:00,106903.5,106907.8,106895.8,106907.8,27331.0
2025-06-28 00:30:00,106907.8,106954.9,106907.8,106909.7,26711.0
2025-06-28 00:31:00,106909.7,106909.7,106882.7,106909.6,20760.0
2025-06-28 00:32:00,106909.5,106981.8,106909.5,106967.6,39379.0
2025-06-28 00:33:00,106967.6,106977.5,106963.3,106963.3,131433.0
2025-06-28 00:34:00,106963.2,106963.2,106939.6,106942.6,14120.0
2025-06-28 00:35:00,106941.0,106949.0,106940.8,106940.8,11788.0
2025-06-28 00:36:00,106940.8,106940.8,106911.8,106911.9,18282.0
